project,seed,condition,n_fp_available,n_fn_available,n_labels_corrected,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,101,BSZZ_at_window,451,48,0,0.23770799995599098,0.62909330381899,0.19628734223731176,0.7307651711671168
ant-ivy,101,fp_repair_matched,451,48,48,0.15066242473376062,0.5710696873124509,-0.02044885357253513,0.4709232247666744
ant-ivy,101,fp_repair_frac_0.25,451,48,113,0.12732770604613644,0.566572607466776,-0.025559679785792763,0.4681347631074613
ant-ivy,101,fn_repair_frac_0.25,451,48,12,0.12979290534087964,0.5675676457275586,-0.0038861892881261683,0.49421424100813793
ant-ivy,101,fp_repair_frac_0.50,451,48,226,0.18523027435828637,0.6054462285541429,0.03570174912587882,0.5429760679358906
ant-ivy,101,fn_repair_frac_0.50,451,48,24,0.1372325774672219,0.5719150281124721,0.0005757015386480347,0.4979789965094031
ant-ivy,101,fp_repair_frac_0.75,451,48,338,0.11903342803183359,0.5572187744642364,-0.08854728839284608,0.36102974352608674
ant-ivy,101,fn_repair_frac_0.75,451,48,36,0.12239497770606911,0.556301104398666,-0.02721687962649777,0.46603623234656816
ant-ivy,101,fp_repair_frac_1.00,451,48,451,0.16349614239724086,0.5869235657680184,-0.035787287011953495,0.4121471634097887
ant-ivy,101,fn_repair_frac_1.00,451,48,48,0.11847933961055071,0.5555262614564629,-0.032189970805187894,0.4597859147966061
ant-ivy,101,fn_repair_immediate,451,48,48,0.18094491989008948,0.5578408648778065,0.05009084608747557,0.5538641380766157
ant-ivy,101,fn_repair_at_window,451,48,48,0.22714798056632868,0.6214421497329887,0.16971117865780724,0.7004522529858366
ant-ivy,123,BSZZ,451,48,0,0.15162274079823987,0.5734779736333284,-0.005915107629340646,0.4917557755067823
ant-ivy,123,BSZZ_immediate,451,48,0,0.1901715486383897,0.5706989592486275,0.08538959034758219,0.6044497057914833
ant-ivy,123,BSZZ_at_window,451,48,0,0.22577330531462583,0.6193015267651649,0.18079817175520838,0.7081534967346559
ant-ivy,123,fp_repair_matched,451,48,48,0.14936175340591978,0.5777861272295015,0.002194483308514261,0.5024084435494816
ant-ivy,123,fp_repair_frac_0.25,451,48,113,0.10859766188824113,0.5497949154287277,-0.061090888523179135,0.4241963728209865
ant-ivy,123,fn_repair_frac_0.25,451,48,12,0.16899918545996712,0.5828059726273478,-0.017513258987908713,0.4781583584500131
ant-ivy,123,fp_repair_frac_0.50,451,48,226,0.15602784790681176,0.5781528711434921,-0.07246225750333035,0.37746787650926333
ant-ivy,123,fn_repair_frac_0.50,451,48,24,0.16867607276063748,0.5806703831466179,-0.012692234295837938,0.4840555894840758
ant-ivy,123,fp_repair_frac_0.75,451,48,338,0.13635265156365955,0.5689205975310916,0.0618969771028557,0.5647690313968674
ant-ivy,123,fn_repair_frac_0.75,451,48,36,0.13301176172292706,0.5629777159849655,-0.00841184900982192,0.489077873526076
ant-ivy,123,fp_repair_frac_1.00,451,48,451,0.17980865018471215,0.5960403611091776,-0.032167897198883764,0.418588867463195
ant-ivy,123,fn_repair_frac_1.00,451,48,48,0.15773911110670868,0.5755181665848872,-0.010172287627979398,0.48497594312473186
ant-ivy,123,fn_repair_immediate,451,48,48,0.1882394637643051,0.565536690727959,0.06674473281172252,0.5732711925433837
ant-ivy,123,fn_repair_at_window,451,48,48,0.2413722401185045,0.6352334005898967,0.18868408695518815,0.7229776697490025
ant-ivy,202,BSZZ,451,48,0,0.16911124349893575,0.5863518793422662,-0.004435842765415123,0.49427238354067293
