config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
quantile/q=0.2|eps=0.0|minpos=20|suppress,quantile/q=0.2,0.0,20.0,suppress,0.1963177966101695,0.10856481481481482,0.20803519551530908,0.10804756245932716,0.01727931276536128,0.01676450159859172,0.023767609798617154,0.011067485794897705,True
quantile/q=0.2|eps=0.0|minpos=30|observed,quantile/q=0.2,0.0,30.0,observed,0.17537758945386064,0.08345959595959597,0.15165479634738752,0.08905228758169934,0.03760659575172946,0.01481590825639112,0.015539767735586185,0.009087742095246015,True
quantile/q=0.2|eps=0.0|minpos=30|suppress,quantile/q=0.2,0.0,30.0,suppress,0.1666963276836158,0.08034511784511784,0.15329172941191388,0.08799408652349829,0.038048914294136746,0.015586465383509163,0.017333597650616983,0.008031379279945405,True
quantile/q=0.2|eps=0.0|minpos=50|observed,quantile/q=0.2,0.0,50.0,observed,0.15658333333333332,0.05067340067340067,0.09917075582943437,0.06349206349206349,0.01939336030703423,0.012841800402052114,0.015082695068178095,0.009882002540872667,True
quantile/q=0.2|eps=0.0|minpos=50|suppress,quantile/q=0.2,0.0,50.0,suppress,0.1520579096045198,0.05025252525252525,0.09903762029746281,0.0652116402116402,0.018970781765011324,0.012107214507812825,0.020541915434641372,0.006625991781487539,True
quantile/q=0.2|eps=0.1|minpos=20|observed,quantile/q=0.2,0.1,20.0,observed,0.20124199623352165,0.11449915824915825,0.21134199124512676,0.10950258891435362,0.019278611348035754,0.01350597827914983,0.020078929449512298,0.012424397951939031,True
quantile/q=0.2|eps=0.1|minpos=20|suppress,quantile/q=0.2,0.1,20.0,suppress,0.19199246704331452,0.11142676767676768,0.21192528896377297,0.10976713917890389,0.015700928447730148,0.014576122751709289,0.026115164458841572,0.010821943369367232,True
quantile/q=0.2|eps=0.1|minpos=30|observed,quantile/q=0.2,0.1,30.0,observed,0.17093879472693033,0.085753367003367,0.15296713230539277,0.08944911297852473,0.03705246007798184,0.013391105497660857,0.01796018730941268,0.008861275503617053,True
quantile/q=0.2|eps=0.1|minpos=30|suppress,quantile/q=0.2,0.1,30.0,suppress,0.1714632768361582,0.0815446127946128,0.15496162937007127,0.089713663243075,0.038194215236182646,0.014250483383935086,0.01809553430216837,0.00774807104796614,True
quantile/q=0.2|eps=0.1|minpos=50|observed,quantile/q=0.2,0.1,50.0,observed,0.15615112994350283,0.050673400673400676,0.10140743276655635,0.066005291005291,0.02044867491054342,0.010756603310785776,0.01747094407464886,0.00768293828493595,True
quantile/q=0.2|eps=0.1|minpos=50|suppress,quantile/q=0.2,0.1,50.0,suppress,0.14684651600753298,0.05092592592592593,0.1011158025536663,0.06468253968253969,0.020824984265350857,0.010349958011125357,0.01785845443295224,0.007985104372006308,True
