project,seed,model,train_label,eval_mode,regime,mcc,gmean
ant-ivy,101,ORB,MASZZ,self,prequential_latency,0.09466108444845049,0.5567704551482736
ant-ivy,101,LApredict,LSZZ,oracle,naive_kfold,0.3223096243856435,0.6982117773476347
ant-ivy,101,LApredict,LSZZ,oracle,chronological,0.22858015075826088,0.6606428378371544
ant-ivy,101,JITLine,LSZZ,oracle,naive_kfold,0.2552717679388709,0.6423185780609678
ant-ivy,101,JITLine,LSZZ,oracle,chronological,0.13115538358069498,0.5413121248145379
ant-ivy,101,ORB,LSZZ,oracle,prequential_latency,0.015425788532265792,0.5050955544467525
ant-ivy,101,LApredict,LSZZ,self,naive_kfold,0.3329588417068907,0.7200627244433914
ant-ivy,101,LApredict,LSZZ,self,chronological,0.25086445121504475,0.7018685914884635
ant-ivy,101,JITLine,LSZZ,self,naive_kfold,0.3983528086756864,0.7518215692101389
ant-ivy,101,JITLine,LSZZ,self,chronological,0.2916289747229378,0.6988487054496232
ant-ivy,101,ORB,LSZZ,self,prequential_latency,0.05700282417782531,0.591173120548713
ant-ivy,101,LApredict,RSZZ,oracle,naive_kfold,0.3133617032221622,0.696757791545387
ant-ivy,101,LApredict,RSZZ,oracle,chronological,0.22341719725538367,0.6627292598125221
ant-ivy,101,JITLine,RSZZ,oracle,naive_kfold,0.2538106710557766,0.6534789627250811
ant-ivy,101,JITLine,RSZZ,oracle,chronological,0.09605893157147982,0.562335533834915
ant-ivy,101,ORB,RSZZ,oracle,prequential_latency,0.01829382870561414,0.5152330843823938
ant-ivy,101,LApredict,RSZZ,self,naive_kfold,0.2742088793008771,0.6618402058350719
ant-ivy,101,LApredict,RSZZ,self,chronological,0.21438009789977275,0.6389329754512441
ant-ivy,101,JITLine,RSZZ,self,naive_kfold,0.33015450789899736,0.6872709485159114
ant-ivy,101,JITLine,RSZZ,self,chronological,0.18917225770442486,0.618197995422464
ant-ivy,101,ORB,RSZZ,self,prequential_latency,0.07440620677687318,0.5675729182442116
ant-ivy,101,LApredict,RASZZ,oracle,naive_kfold,0.31557789607469294,0.6927401959804781
ant-ivy,101,LApredict,RASZZ,oracle,chronological,0.2189060650982903,0.6577901925844066
ant-ivy,101,JITLine,RASZZ,oracle,naive_kfold,0.2101899135065755,0.6327050241462412
ant-ivy,101,JITLine,RASZZ,oracle,chronological,0.0886649716447311,0.5658806314145148
ant-ivy,101,ORB,RASZZ,oracle,prequential_latency,-0.028432899598816588,0.442025299066715
ant-ivy,101,LApredict,RASZZ,self,naive_kfold,0.4113480538866698,0.7065557241008318
ant-ivy,101,LApredict,RASZZ,self,chronological,0.4085049496239898,0.7162344012448035
ant-ivy,101,JITLine,RASZZ,self,naive_kfold,0.504920148903602,0.7526818196697299
ant-ivy,101,JITLine,RASZZ,self,chronological,0.4148726196512946,0.7195123790171059
ant-ivy,101,ORB,RASZZ,self,prequential_latency,0.15604926562133964,0.5953396558865135
ant-ivy,77,LApredict,oracle,oracle,naive_kfold,0.31326461212066026,0.6952089410781364
ant-ivy,77,LApredict,oracle,oracle,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,77,JITLine,oracle,oracle,naive_kfold,0.34741959632024466,0.7171809874093785
ant-ivy,77,JITLine,oracle,oracle,chronological,0.18804409951942955,0.6297711264151542
ant-ivy,77,ORB,oracle,oracle,prequential_latency,-0.024908330900568074,0.4267801950473236
ant-ivy,77,LApredict,oracle,self,naive_kfold,0.31326461212066026,0.6952089410781364
ant-ivy,77,LApredict,oracle,self,chronological,0.22912833207527694,0.6621975463567292
ant-ivy,77,JITLine,oracle,self,naive_kfold,0.34741959632024466,0.7171809874093785
ant-ivy,77,JITLine,oracle,self,chronological,0.18804409951942955,0.6297711264151542
ant-ivy,77,ORB,oracle,self,prequential_latency,-0.024908330900568074,0.4267801950473236
ant-ivy,77,LApredict,BSZZ,oracle,naive_kfold,0.3131601367945789,0.6937637474993732
ant-ivy,77,LApredict,BSZZ,oracle,chronological,0.22944468158695336,0.6671891416879415
ant-ivy,77,JITLine,BSZZ,oracle,naive_kfold,0.32797613752368066,0.7033462507838323
ant-ivy,77,JITLine,BSZZ,oracle,chronological,0.19392562109611727,0.6137809998010308
ant-ivy,77,ORB,BSZZ,oracle,prequential_latency,-0.0033220959610051853,0.495608497228713
ant-ivy,77,LApredict,BSZZ,self,naive_kfold,0.45854963878813304,0.732176208550725
ant-ivy,77,LApredict,BSZZ,self,chronological,0.449330478547855,0.7301549330735867
