project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,AGSZZ,21,0.9,0.1,0.12718194061559968,0.5061359901969644,-0.02728384768165628
ant-ivy,AGSZZ,21,0.9,0.25,0.13550514754260967,0.5106772581669287,-0.02728384768165628
ant-ivy,AGSZZ,21,0.95,0.0,0.10351204749107928,0.5134803150837631,-0.06495537599759041
ant-ivy,AGSZZ,21,0.95,0.05,0.1146910497912147,0.523515091480194,-0.06495537599759041
ant-ivy,AGSZZ,21,0.95,0.1,0.12743609570661266,0.5301249850496391,-0.06495537599759041
ant-ivy,AGSZZ,21,0.95,0.25,0.1372253140280592,0.5358062679841485,-0.06495537599759041
ant-ivy,AGSZZ,21,0.99,0.0,0.10715822317982542,0.5519839066052351,-0.06982081289266856
ant-ivy,AGSZZ,21,0.99,0.05,0.11843854133286967,0.5634019048637091,-0.06982081289266856
ant-ivy,AGSZZ,21,0.99,0.1,0.13352087641176058,0.5724483120711843,-0.06982081289266856
ant-ivy,AGSZZ,21,0.99,0.25,0.15284997717396323,0.5860787277672128,-0.06982081289266856
ant-ivy,AGSZZ,21,0.995,0.0,0.10660543207443303,0.5556180479901831,-0.0067863803494857084
ant-ivy,AGSZZ,21,0.995,0.05,0.11787396272289505,0.5671791402872257,-0.0067863803494857084
ant-ivy,AGSZZ,21,0.995,0.1,0.13290811927876123,0.5765464978008072,-0.0067863803494857084
ant-ivy,AGSZZ,21,0.995,0.25,0.15713184319237009,0.5939358527033739,-0.0067863803494857084
ant-ivy,AGSZZ,21,0.999,0.0,0.08872874203059661,0.5422619711593138,0.11469343565287038
ant-ivy,AGSZZ,21,0.999,0.05,0.09908695121630093,0.5530891460643492,0.11469343565287038
ant-ivy,AGSZZ,21,0.999,0.1,0.11297393767073417,0.561774705831965,0.11469343565287038
ant-ivy,AGSZZ,21,0.999,0.25,0.13894869676153737,0.5799648825785997,0.11469343565287038
ant-ivy,MASZZ,7,0.9,0.0,0.06329001596815227,0.456377040181467,-0.02638240147544151
ant-ivy,MASZZ,7,0.9,0.05,0.07143476632843329,0.46416371346566804,-0.02638240147544151
ant-ivy,MASZZ,7,0.9,0.1,0.08124414709271524,0.4684729735627321,-0.02638240147544151
ant-ivy,MASZZ,7,0.9,0.25,0.1029118637743956,0.48413093107829336,-0.02638240147544151
ant-ivy,MASZZ,7,0.95,0.0,0.06368980042422,0.48880154109118723,-0.056325899496582545
ant-ivy,MASZZ,7,0.95,0.05,0.07216794229323358,0.4970933665723287,-0.056325899496582545
ant-ivy,MASZZ,7,0.95,0.1,0.08388536670690903,0.5025048403783609,-0.056325899496582545
ant-ivy,MASZZ,7,0.95,0.25,0.10571314075370589,0.5177582422059732,-0.056325899496582545
ant-ivy,MASZZ,7,0.99,0.0,0.06745309717209755,0.527119476270142,-0.03197338168339535
ant-ivy,MASZZ,7,0.99,0.05,0.07614241801710105,0.5368272634848558,-0.03197338168339535
